River_Mile,Num_Sensors,Start_Year,End_Year,Notes
54.0,2,1995 (Y01),2014 (Y20),"1, 2"
53.0,2,1995 (Y01),2014 (Y20),"3, 4"
51.9,2,1995 (Y01),2014 (Y20),"5, 6"
50.5,2,1995 (Y01),2014 (Y20),"7, 8 "
46.0,4,1995 (Y01),2014 (Y20),"9, 10, 11, 12"
42.1,4,1995 (Y01),2014 (Y20),"13, 14, 15, 16"
33.6,4,1995 (Y01),2014 (Y20),"17, 18, 19, 20"
23.0,2,1995 (Y01),2014 (Y20),"21, 22"
21.5,2,1995 (Y01),2014 (Y20),"23, 24"
17.0,3,1995 (Y01),2014 (Y20),"25, 26, 27"
15.0,3,1995 (Y01),2014 (Y20),"28, 29, 30"
13.0,2,1995 (Y01),2014 (Y20),"31, 32"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
